job_title,company,job_location,post_date,extract_date,job_description,job_salary
"Econometric Data Scientist, International",Warner Music Group,"Hybrid remote in New York, NY 10019",4 days ago,2022-04-25,"Interact with data engineering teams to identify the data needs for mathematical models.
The Data Science department works to influence WMG’s strategy and…",
Data Science Rotation Program Associate,New York Life Insurance Co,"New York, NY",30+ days ago,2022-04-25,"You will be inspired to strengthen other critical components of being an effective data scientist ranging from soft skills (concisely presenting a data story,…",
Analyst - Data Science,Essence,"New York, NY",5 days ago,2022-04-25,"Natural affinity for numbers & data, and a passion for playing with data in order to solve problems.
Work with all things data, from collection and cleaning to…",
Research Scientist-Center for Data Science,New York University,"New York, NY 10012 (Greenwich Village area)+7 locations",30+ days ago,2022-04-25,Completion of Master's degree in disciplines aligned with CDS faculty research by the start date.,
Data Analyst,Netomi,"New York, NY",12 days ago,2022-04-25,"Ensure data cleanliness, aligning data sets to stakeholder objectives for reporting & analysis.
Integrate multiple 1st and 3rd party APIs & data sources into…",
Data Scientist,Source Enterprises,"New York, NY 10036 (Midtown area)",30+ days ago,2022-04-25,"Some knowledge of common data science toolkits, such as R, Weka, NumPy, MatLab, etc.
Stay current on modern trends and advances in data mining technology.",
Entry Level - Associate Data Scientist (Commercial),IBM,"New York, NY 10001 (Chelsea area)",6 days ago,2022-04-25,"Work or internship experience using data science tools in a corporate environment.
Write programs to cleanse and integrate data in an efficient and reusable…",
"Econometric Data Scientist, International",Warner Music Group,"Hybrid remote in New York, NY 10019",4 days ago,2022-04-25,"Interact with data engineering teams to identify the data needs for mathematical models.
The Data Science department works to influence WMG’s strategy and…",
Data Science Rotation Program Associate,New York Life Insurance Co,"New York, NY",30+ days ago,2022-04-25,"You will be inspired to strengthen other critical components of being an effective data scientist ranging from soft skills (concisely presenting a data story,…",
Analyst - Data Science,Essence,"New York, NY",5 days ago,2022-04-25,"Natural affinity for numbers & data, and a passion for playing with data in order to solve problems.
Work with all things data, from collection and cleaning to…",
Research Scientist-Center for Data Science,New York University,"New York, NY 10012 (Greenwich Village area)+7 locations",30+ days ago,2022-04-25,Completion of Master's degree in disciplines aligned with CDS faculty research by the start date.,
Junior Consultant in Strategy & Data Science - New York,Ekimetrics,"New York, NY+2 locations",30+ days ago,2022-04-25,"Growth to develop a double profile in data science and strategic consulting.
As both a data scientist and consultant, you will use and develop advanced data…",
"Data Science Online Course Instructor (Part-Time, Contract)",DataCamp,"Remote in New York, NY",30+ days ago,2022-04-25,"Passionate about teaching data science and data fluency skills.
Talented data science industry professional skilled in either Python, R, SQL, or Sheets (or all…",
Data Scientist (Fully Remote) 6 Month-Contract,Harnham,"Remote in New York, NY+3 locations",10 days ago,2022-04-25,"Explain sophisticated data science concepts in an understandable manner.
Degree in computer science, applied mathematics, statistics, machine learning, or other…",
Data Science Associate (Current Students),ZS Associates,"New York, NY 10118 (Chelsea area)",10 days ago,2022-04-25,"Execute statistical and data mining techniques (e.g. hypothesis testing, machine learning and retrieval processes) on large data sets to identify trends,…",
"Associate, Data Science - Customer Segmentation Analytics","JPMorgan Chase Bank, N.A.","New York, NY+12 locations",Today,2022-04-25,"Become a trusted partner and thought leader on customer data and data science & analytics techniques.
The team encompasses a variety of Data & Analytics…",
Data Science Analyst,Metropolitan Transportation Authority,"Manhattan, NY+3 locations",4 days ago,2022-04-25,"A minimum of (1) year of experience working in a data science or data engineering role, or another position with similar programing and data management content.",
Training and placement in Data Science/Engineering/Analyst,"TechIntelli Solutions, Inc.","Florida, NY+1 location",EmployerActive 6 days ago,2022-04-25,"Big data Developer and all technology's related to IT.
These training programs will last approximately 4 to 5 weeks.",
Data Scientist - New York,Dataiku,"New York, NY+1 location",30+ days ago,2022-04-25,"Experience using enterprise data science tools.
Co-develop production-level data science projects with our customers.
In this role you'll help the team:",
Data Scientist - New York,Dataiku,"New York, NY+1 location",30+ days ago,2022-04-25,"Experience using enterprise data science tools.
Co-develop production-level data science projects with our customers.
In this role you'll help the team:",
"Associate Principal Analyst, Data Science - Any FINRA Locati...",Finra,"New York, NY",5 days ago,2022-04-25,"Conduct research and development in areas such as the application of data science, financial engineering, financial theory and applied mathematics, as well as…",
Jr. Data Scientist,Paramount,"New York, NY 10036",22 days ago,2022-04-25,"Experience working with production data science systems.
Work with data scientists, data engineers, and software engineers to deliver analysis aimed at…",
Data Science Analyst/Associate,Starwood Capital Group,"New York, NY 10036 (Midtown area)",30+ days ago,2022-04-25,"Write data pipelines to load external data.
Working with members of Acquisitions, utilize alternative data and statistical analysis to identify actionable, data…",
Data Engineer,FanDuel,"New York, NY",6 days ago,2022-04-25,"Machine learning and data science.
Orchestrating data workflows with Apache Airflow.
Continuous integration and delivery of production data products.",
Data Scientist,CKM Analytix,"New York, NY",30+ days ago,2022-04-25,"Passion for quantitative problem solving and developing data-driven solutions to difficult business questions.
New York, NY or London, UK| Full Time.",
Data Analyst,Monument Economics Group,"New York, NY 10001 (Chelsea area)",30+ days ago,2022-04-25,"Science, predictive analytics, computer science, financial engineering, quantitative.
Economics, etc.) or in a natural science; and.",
Data Analyst/Sr Data Analyst,IT Alliances Inc,"New York, NY",EmployerActive 3 days ago,2022-04-25,"Good understanding of data flow between multiple systems and should be able to articulate data flow.
Strong knowledge of database structure systems and data…",
Data Scientist,Naka Technologies,"New York, NY",30+ days ago,2022-04-25,"A data scientist with 4-6+ years of experience in data science roles.
Happy to explore public speaking, presenting data and leading training sessions.",
Senior Data Analyst,"VIZIO, Inc.","New York, NY 10019 (Midtown area)",30+ days ago,2022-04-25,"Wrangle data and build data pipeline.
Experience with data visualizations and using data to tell a story.
Turn detailed granular data into actionable insights.",
Data Analyst,Michael Page,"New York, NY 10174 (Turtle Bay area)+3 locations",30+ days ago,2022-04-25,"Lead data analysts, data engineers and database admins from initial discovery and design stages of new data science initiative all the way through…",
Data Scientist,Circle,"Remote in New York, NY",30+ days ago,2022-04-25,"Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…",
Data Analyst - Remote,Revolt Media & TV,"Remote in New York, NY 10018",28 days ago,2022-04-25,"You will be responsible for supporting data integrity, including documenting data layers and QA’ing data engineering work.",
Data Engineer August 2022 Start Date,Capgemini,"New York, NY+2 locations",11 days ago,2022-04-25,"Experience working with and developing big data solutions.
Upon completing our initial multi-week training program to enhance your programming, delivery and…",
Data Analyst,DLA Piper,"Remote in New York, NY",5 days ago,2022-04-25,"Bachelor’s degree in data science, analytics, statistics, computer science or similar quantitative field.
2 years of data-related experience.",
Data Engineer August 2022 Start Date,Capgemini,"New York, NY+2 locations",11 days ago,2022-04-25,"Experience working with and developing big data solutions.
Upon completing our initial multi-week training program to enhance your programming, delivery and…",
Data Analyst,DLA Piper,"Remote in New York, NY",5 days ago,2022-04-25,"Bachelor’s degree in data science, analytics, statistics, computer science or similar quantitative field.
2 years of data-related experience.",
Data Scientist,CVS Health,"New York, NY+6 locations",4 days ago,2022-04-25,"Explores existing data and recommends additional sources of data for improvements.
Ability to work with large data sets from multiple data sources.",
Data Analyst/Data Visualization,PepsiCo,"Purchase, NY",3 days ago,2022-04-25,"Experience with data science, cloud platforms, and other programming languages.
Complete requested data analytic deliverables timely and error-free.",
Data Scientist,Consumer Reports,"Yonkers, NY 10703 (Nepera Park area)",6 days ago,2022-04-25,"Strong data wrangling skills and experience cleaning and optimizing text data for analysis.
A minimum of three years experience in data science with a focus on…",
Data Scientist,Affinity Solutions,"New York, NY 10120 (Chelsea area)",5 days ago,2022-04-25,"Provide data science and analytic support requested by the product team.
Be flexible and able to be productive in a wide range of data science areas.",
Data Analyst,New York University,"New York, NY 10012 (Greenwich Village area)",30+ days ago,2022-04-25,"Candidates must currently be seeking a doctoral degree in data science, statistics, quantitative psychology, education science, public health, or a related…",
Data Analyst,OnFrontiers,"Remote in New York, NY",5 days ago,2022-04-25,"At least 2-3 years relevant work experience in data analytics or data science.
Experience with common data science toolkits (e.g., R, Weka, NumPy, MatLab, etc.)…",
"Data Scientist, Google Cloud Support",Google,"New York, NY (Chelsea area)+10 locations",6 days ago,2022-04-25,"Experience in product analytics, customer support, business intelligence, data science, or data warehousing.
3 years of experience analyzing data, working with…",
Data Scientist,United Health Services,"Vestal, NY 13850",30+ days ago,2022-04-25,"Proficiency in data visualization tools.
Proficiency in common data science toolkits, such as R, Python, and Julia.
Good scripting and programming skills.",
Data Scientist,Corning,"Corning, NY 14831",30+ days ago,2022-04-25,Perform exploratory and targeted data analysis using commercial and open source data analytic software packages.,
DATA CURATOR/SCIENTIST,NYC MAYORS OFFICE OF CONTRACT SVCS,"Brooklyn, NY",2 days ago,2022-04-25,"Work on large data projects, profile data and be able to develop clear documentation.
The City’s data community.
Data and digital products that promote equity.",
Head of Data Science (Remote),Trace Technosoft,"Remote in New York, NY",EmployerActive 2 days ago,2022-04-25,"You have 5 plus years of professional experience working in data science roles.
You have experience uncovering key insights from large swaths of data.",
"Data Science Associate, Landau Lab",New York Genome Center,"New York, NY",30 days ago,2022-04-25,"Analyze sequencing data using established pipelines;
Demonstrated exposure to NGS data analysis;
MS degree in bioinformatics, computer science or equivalent…",
People Data Analyst,Pagaya Investments,"New York, NY",7 days ago,2022-04-25,"BA/BS in a field that emphasizes quantitative data analysis and visualization (e.g., computer science, social sciences, physical sciences, math, engineering, or…",
Senior Data Analyst,Away Travel,"New York, NY",Today,2022-04-25,"Experience with customer data platforms and customer data.
Perform in-depth analysis by collecting and analyzing data from disparate sources including…",
Data Analyst,Disney Media & Entertainment Distribution,"New York, NY+2 locations",2 days ago,2022-04-25,"Expertise manipulating large data sets, interpreting data trends and using a multitude of disparate data sources and tools.",
Head of Data Science & Consumer Insights,BBTV,"New York, NY",11 days ago,2022-04-25,"Harness the power of both internal and external data data to generate narratives around the audience, their mindset, interests, goals and needs and how they are…",
Data Scientist,United Health Services,"Vestal, NY 13850",30+ days ago,2022-04-25,"Proficiency in data visualization tools.
Proficiency in common data science toolkits, such as R, Python, and Julia.
Good scripting and programming skills.",
Data Science Manager - Consortium Network,Socure,"Remote in New York, NY+1 location",30+ days ago,2022-04-25,"Analyze large data sets to develop multiple, custom models and algorithms to drive innovative correlations for fraud and acceptance data as well as social data.",
Data Analyst,Monument Economics Group,"New York, NY 10001 (Chelsea area)+1 location",30+ days ago,2022-04-25,"Science, predictive analytics, computer science, financial engineering, quantitative.
Economics, etc.) or in a natural science; and.",
Associate Data Scientist,Swiss Re,"Armonk, NY 10504+1 location",30+ days ago,2022-04-25,"Bachelor's degree with quantitative background (computer science, data science, statistics, engineering, econometrics, or another related field) or relevant…",
Sr. Data Scientist,Risk Solutions,"New York, NY 10169 (Midtown area)",Today,2022-04-25,"This is a data science role with a customer facing component.
Conduct exploratory data analysis and data mining to uncover global cybercrime trends and…",
DATA CURATOR/SCIENTIST,NYC MAYORS OFFICE OF CONTRACT SVCS,"Brooklyn, NY",2 days ago,2022-04-25,"Work on large data projects, profile data and be able to develop clear documentation.
The City’s data community.
Data and digital products that promote equity.",
Data Analyst Consultant,Advanced Tech Placement,"New York, NY",Today,2022-04-25,"Regularly audits data in Foundation through reports and performs data cleanup.
Validates data flowing into Foundation from other systems and works with the…",
"Data Scientist, Content Analytics, Podcasts & Studios",Spotify,"Remote in New York, NY+24 locations",30+ days ago,2022-04-25,"Experience visualizing data and/or building dashboards.
Develop and communicate recommendations to non-technical audiences determined by data.",
"Director, Data Science",Memorial Sloan Kettering Cancer Center,"New York, NY 10017 (Turtle Bay area)",24 days ago,2022-04-25,"10+ years of industry experience in an evolving leadership role, significant AI/ML work, and experience managing a mature data science team.",
"Data Scientist, BotGuard",Human Security,"Remote in New York, NY",30+ days ago,2022-04-25,"You’ve worked as a data scientist solving large-scale data intensive problems in production systems (we process trillions of events per day, so literacy with…",
Research Data and Statistical Analyst,Hospital for Special Surgery,"New York, NY 10021 (Upper East Side area)",25 days ago,2022-04-25,Review study proposals to determine data requirements and assist with development of data collection and/or data extraction plans to optimize data quality and…,
Data Science Developer - Lab of Ornithology,Cornell University,"Ithaca, NY 14853+2 locations",3 days ago,2022-04-25,"Experience with data visualization, especially structuring data for further exploratory data analysis or interactive, web-based visualization.",
Data Scientist (Remote) - US,AlphaSights,"Remote in New York, NY",30+ days ago,2022-04-25,Work directly with stakeholders and teams to fully understand the business problems and translate it to a data-driven solution.,
Data Analyst,"ClinicalMind, LLC","Remote in New York, NY 10038",30+ days ago,2022-04-25,"Using data mining to extract information from data sets and identify correlations and patterns.
A track record of influencing business strategy with data.",
"Data Scientist, BotGuard",Human Security,"Remote in New York, NY",30+ days ago,2022-04-25,"You’ve worked as a data scientist solving large-scale data intensive problems in production systems (we process trillions of events per day, so literacy with…",
Customer Facing Data Scientist,Explorium,"Remote in New York, NY",30+ days ago,2022-04-25,"By automatically connecting to thousands of external data sources and leveraging machine learning to distill the most impactful signals, the Explorium platform…",
Data Engineer,Starry,"Remote in New York, NY",3 days ago,2022-04-25,"Design data architecture and patterns for analytics and data science.
Iterate on our data warehousing strategy as the volume of our data increases, optimizing…",
Data Analyst,Salient Corporation.,"Remote in Horseheads, NY 14845+1 location",14 days ago,2022-04-25,"Must include 2 years of experience with (1) creating dashboards and performing data analysis for business users (2) machine learning experience, (3) advanced…",
Data Scientist,User Interviews,"Remote in Brooklyn, NY",4 days ago,2022-04-25,"Knowledge of statistics and other data analysis methods.
Experience working with Engineers to build good data infrastructure.
Stock options for every employee.",
Product Data Scientist,Current,"New York, NY 10011 (Chelsea area)+1 location",30+ days ago,2022-04-25,"Develop data roadmaps for Product; collaborate with BI and Engineering groups to define and build new data infrastructure.
401(k) plan with company matching.",
Senior Data Scientist,"Rocket Travel, Inc.","Remote in New York, NY",30+ days ago,2022-04-25,"Designing data pipeline models to structure our front-end data.
Evolve the Rocket data science toolkit by identifying and recommending best tools for each task.",
"Data Scientist, Customer Analytics",Spring Health,"Remote in New York, NY 10003",30+ days ago,2022-04-25,"You have experience using any of the following data: EMR, clinical trials, claims data.
You have a degree in a STEM-related field and at least 2-3 years of…",
Senior Data Analyst,Away,"New York, NY",Today,2022-04-25,"Experience with customer data platforms and customer data.
Perform in-depth analysis by collecting and analyzing data from disparate sources including…",
Data Scientist,Momentum Staffing Group LLC,"New York, NY 10005 (Financial District area)",4 days ago,2022-04-25,"M.S. or PhD degree in data science, computer science, software engineer, computer engineering, chemistry, or related field.
1–5 years of relevant experience.",
"Data Science Manager, Growth",Reddit,"Remote in New York, NY+2 locations",30+ days ago,2022-04-25,"Desire to mentor other data scientists and share best practices to elevate the data science practice at Reddit.
2+ years of experience in the tech growth space.",
Data Science Developer - Lab of Ornithology,Cornell University,"Ithaca, NY 14853+5 locations",3 days ago,2022-04-25,"Experience with data visualization, especially structuring data for further exploratory data analysis or interactive, web-based visualization.",
Senior Data Analyst,AlphaSense,"Remote in New York, NY 10003",30+ days ago,2022-04-25,"Demonstrated proficiency at telling a story with data.
Experience as a business analyst, data analyst, or in a similar data-focused capacity with a business…",
"Data Scientist, Game Analytics & Strategy",the NBA,"New York, NY 10022 (Midtown area)+2 locations",30+ days ago,2022-04-25,"Perform exploratory analysis of new data sources to assess data quality and applicability in decision-making.
Help design procedures to maintain data integrity.",
1628 Data Scientist,Infoorigin inc,"New York, NY 10036+1 location",EmployerActive 2 days ago,2022-04-25,The data scientist will help clients transform their business and solve complex problems using data-driven approaches and help to deliver projects using data…,
Data Scientist,Hungryroot,"Remote in New York, NY 10010",30+ days ago,2022-04-25,"Comfortable working with standard Python data science libraries (numpy, pandas, matplotlib, scikit-learn) to preprocess and manipulate datasets in order to…",
Data Scientist,Yext,"New York, NY 10010 (NoMad area)",30+ days ago,2022-04-25,"Solve ""full stack"" Data Science problems – Implement solutions to a data science problem in a production environment, coping with all the challenges (such as…",
Data Science Manager,Signifyd,"Remote in New York, NY",30+ days ago,2022-04-25,Partnering with senior leaders including Product & Engineering to ensure data-driven decisions across the organization by applying the appropriate data science …,
Career Comeback - Business Data Analyst,Capgemini,"New York, NY",1 day ago,2022-04-25,"Capgemini will offer you training and an exciting career path to refresh your skills in data consulting, analysis, problem solving, data visualization and cloud…",
Data Analyst Consultant,Advanced Tech Placement,"New York, NY",Today,2022-04-25,"Regularly audits data in Foundation through reports and performs data cleanup.
Validates data flowing into Foundation from other systems and works with the…",
Data Science Teacher,OTCFin,"New York, NY 10004 (Financial District area)",30+ days ago,2022-04-25,"O Previous teaching experience of data science courses.
O 3+ years of professional data science experience building machine learning models Python and other…",
Data Scientist,Altana AI,"Remote in Brooklyn, NY+1 location",30+ days ago,2022-04-25,"You have 3-10 years of real-world professional experience writing data science or machine learning software.
The Data Science/Data Analytics team is looking for…",
Data Engineer,Alloy,"New York, NY",30+ days ago,2022-04-25,Help implement and formalize data models in the data warehouse / metrics store based on specs & roadmaps developed by the ops/business teams.,
Data Analyst,Disney Media & Entertainment Distribution,"New York, NY+1 location",2 days ago,2022-04-25,"Expertise manipulating large data sets, interpreting data trends and using a multitude of disparate data sources and tools.",
"Pre-College Instructor, Big Data, Machine Learning & their R...",Columbia University,"New York, NY+2 locations",Today,2022-04-25,"Established in 1986, Columbia University's Summer Pre-College Program for High School Students offers high-achieving students the opportunity to experience…",
Data Scientist,Kargo,"New York, NY",30+ days ago,2022-04-25,"They will use their knowledge in analytics, statistics, and computer science to create new algorithms and data products that aid in advertising decisions and…",
Data Science Manager - Consortium Network,Socure,"Remote in New York, NY+1 location",30+ days ago,2022-04-25,"Analyze large data sets to develop multiple, custom models and algorithms to drive innovative correlations for fraud and acceptance data as well as social data.",
"Manager, Data Science and Analytics",TaskRabbit,"New York, NY",11 days ago,2022-04-25,"Collaborate with data engineers to improve data preparation/cleansing/ETL pipelines.
Enable data-first culture, and participate and guide all aspects of the…",
"Manager, Data Science and Analytics",TaskRabbit,"New York, NY",11 days ago,2022-04-25,"Collaborate with data engineers to improve data preparation/cleansing/ETL pipelines.
Enable data-first culture, and participate and guide all aspects of the…",
Data Science Manager,Verizon,"Remote in New York, NY 10007+1 location",7 days ago,2022-04-25,"Experience with SQL to extract and manipulate data and draw insights from large data sets.
Background in marketing, business transformation, data science,…",
Bioinformatics Data Scientist,"CBL Path, Inc.","Rye Brook, NY 10573",Today,2022-04-25,"Ability to solve practical problem in data analysis and interpretation.
Ability to identify and apply statistical methods for Data Analysis & Visualization to…",
Lecturer - Mathematics Fall 2022,The City University of New York (CUNY),"New York, NY",14 days ago,2022-04-25,"We are currently in the process of developing a Data Science degree.
Faculty members must demonstrate the ability to teach a culturally and linguistically…",
Associate Research Scientist - Team Science,"Zuckerman Institute, Columbia University","New York, NY 10027 (Manhattanville area)",EmployerActive 8 days ago,2022-04-25,"We are seeking a Data Scientist to work closely with our contributing labs, to implement and contribute to the data analysis approaches required to analyze and…",
Data Scientist,Codecademy,"Remote in New York, NY",30+ days ago,2022-04-25,"Work with our data science and engineering teams to maintain data integrity.
You have strong data intuition and knowledge of using data science best practices…",
"Data Scientist, Product",Go2Andaman,"New York, NY+1 location",21 days ago,2022-04-25,You have helped design processes that data science teams use to collaborate with their product and engineering peers.,
"Data Scientist, NLP",Fractal.ai,"Remote in New York, NY+1 location",30+ days ago,2022-04-25,"Bachelors or equivalent experience in statistics, computer science, engineering, informatics, data science, or related field; Additional business degree is a…",
Data Scientist,Comcentric,"Remote in Albany, NY+1 location",Today,2022-04-25,"Solid knowledge of data structures and algorithms.
Mentor and grow other software engineers, data scientists, and ML engineers across teams.",
Manager-Data Science,Amex,"New York, NY+5 locations",6 days ago,2022-04-25,"Fluency with data manipulation tools like SAS, Python, or SQL plus experience in data-driven decision making strongly preferred.",
Data Analyst III,Signify Health,"Remote in New York, NY 10017",28 days ago,2022-04-25,"Bachelor's degree and 3+ years of business analysis, data analysis, data science or equivalent experience required.
Database querying and data analysis.",
Data Scientist/Research Assistant-Community College,Westchester Community College,"Valhalla, NY 10595",14 days ago,2022-04-25,"Provide training to college constituents when needed on utilization and understanding of data analyses; and.
Excellent knowledge of quantitative and qualitative…",
Data Science Lead (Remote Available) - iMDS,"iMedia Brands, Inc","Remote in Buffalo, NY 14202",30+ days ago,2022-04-25,"Selection of the idea data science technologies and tools as part of the data platform.
Assess the effectiveness and accuracy of new data sources and data…",
Data Science Analyst I,Mount Sinai,"New York, NY 10019 (Hell's Kitchen area)+6 locations",19 days ago,2022-04-25,"Perform first level machine learning analysis for a wide variety of data types (actigraphy, accelerometry, video (face, pose), audio (acoustic, semantic, NLP)…",
Data Analyst,Dormify,"New York, NY 10001 (Garment District area)",30+ days ago,2022-04-25,Dormify is looking for a motivated and meticulous Data Analyst with expertise in reporting and business intelligence to help drive decision-making as we rapidly…,
Data Science Analyst I,Mount Sinai,"New York, NY 10019 (Hell's Kitchen area)+1 location",19 days ago,2022-04-25,"Perform first level machine learning analysis for a wide variety of data types (actigraphy, accelerometry, video (face, pose), audio (acoustic, semantic, NLP)…",
Data Analyst,Dormify,"New York, NY 10001 (Garment District area)",30+ days ago,2022-04-25,Dormify is looking for a motivated and meticulous Data Analyst with expertise in reporting and business intelligence to help drive decision-making as we rapidly…,
Manager Data Science,Metropolitan Transportation Authority,"Manhattan, NY+3 locations",3 days ago,2022-04-25,"A minimum of (5) years of experience working in a data science or data engineering role, or another position with similar programing and data management content…",
Associate Data Scientist,Swiss Re,"Armonk, NY 10504+1 location",30+ days ago,2022-04-25,"Bachelor's degree with quantitative background (computer science, data science, statistics, engineering, econometrics, or another related field) or relevant…",
Education and Data Analyst,Columbia University Medical Center,"Hybrid remote in New York, NY 10032+4 locations",30+ days ago,2022-04-25,"Combine existing data repositories into solo data warehouse with self-serve dashboard reporting capabilities.
Track data pertinent LCME requirements.",
Data Analyst,Happify Health,"Remote in New York, NY",21 days ago,2022-04-25,"Minimum of 1-3 years of data analysis experience utilizing large diverse data sets.
Research and develop internal capabilities to enhance the skill sets on…",
Compliance Operations Analyst,Orum.io,"Remote in New York, NY",3 days ago,2022-04-25,"Collaborate with cross-function peers in product and data science teams to optimize identity verification, transaction monitoring and watchlist screening…",
Head of Data Science & Consumer Insights,BBTV,"New York, NY",11 days ago,2022-04-25,"Harness the power of both internal and external data data to generate narratives around the audience, their mindset, interests, goals and needs and how they are…",
Marketing Analyst,Duolingo,"New York, NY",18 days ago,2022-04-25,"Influence backend data design and develop your own data solutions as needed.
Partner with our data science team to create deep insights into our new user…",
Data Analyst,NYU Langone,"New York, NY",20 days ago,2022-04-25,"To achieve these aims, her lab conducts secondary analyses using quasi-experimental/causal inference methods with large-scale administrative data sets including…",
"Data Scientist, Client Services",Morning Consult,"Remote in New York, NY",30+ days ago,2022-04-25,"This could include developing R packages to clean data, evaluate/interpret results, streamline data collection, or present data in new ways.",
Senior Data Analyst-Data Science Experimentation / Orchestra...,realtor.com,"New York, NY",30+ days ago,2022-04-25,"Partnership and communication: Partner closely with business stakeholders to identify and unlock opportunities, and with other data teams to improve platform…",
Research and Data Analyst-On-Call/Temporary,"Culmen International, LLC","New York, NY 10065 (Upper East Side area)",EmployerActive 4 days ago,2022-04-25,The Analyst will leverage existing data within UNDP and seek new data sources to better inform decisions and policies.,
"Data Scientist, Engineering",Google,"New York, NY (Chelsea area)",30+ days ago,2022-04-25,"Work with large, complex data sets.
2 years of work experience in data analysis related field.
Demonstrated skills in selecting the right statistical tools…",
Data Scientist,BigMarketlytics,"New York, NY",30+ days ago,2022-04-25,"Provide technical thought leadership and manage teams of data engineers.
3+ years of experience working with extremely large data sets.",
Data Scientist,Hinge,"New York, NY 10010 (Park Slope area)",30+ days ago,2022-04-25,"Translate product objectives to data science problems and vice versa.
2+ years of experience as data scientist.
Experience with A/B testing.",
Senior Data Scientist,Neuro-ID,"Remote in New York, NY",4 days ago,2022-04-25,"3-5 years' experience delivering data science projects analyzing and modeling large scale-multi dimensional data, preferably in an industry setting.",
Data Scientist,Hearst Media Services,"New York, NY 10019 (Midtown area)+2 locations",30+ days ago,2022-04-25,"Will help develop and implement best practices for data collecting, data mining, data cleaning and data modeling.
Advanced data visualization skills preferred.",
Machine Learning - Computer Vision,treeleaf.ai,"Spring Valley, NY 10977",30+ days ago,2022-04-25,"Solidify existing algorithms working with large amounts of real data.
Experiment with new or early stage algorithms.",
Machine Learning - Speech,treeleaf.ai,"Spring Valley, NY 10977",30+ days ago,2022-04-25,"Master’s degree or PhD in computer science, mathematics, engineering, computational linguistics, or work experience of minimum 2-3 years.",
Data Scientist,Citizen,"Remote in New York, NY",30+ days ago,2022-04-25,"3+ years of experience in data science or analytics.
Data Analysis: SQL + Python/R via Periscope and Google Colaboratory.
Enjoyment of learning and teaching.",
Data Scientist,Ribbon Health,"New York, NY 10013 (Tribeca area)",30+ days ago,2022-04-25,You'll be involved throughout the product lifecycle and collaborate closely with technical and non-technical stakeholders to understand their various data needs…,
Senior Technical Data Analyst,Disney Streaming,"New York, NY+1 location",2 days ago,2022-04-25,"Familiarity with data exploration and data visualization tools like Tableau, Looker, Chartio, etc.
Collaborating with finance, product, data engineering, data…",
Senior Data Scientist,Jerry,"New York, NY 10001 (Chelsea area)",4 days ago,2022-04-25,"You will join a team of data engineers, data analysts, and data scientists.
Define data science standards and best practices and drive operational excellence.",
Sr. Data Analyst,"Syracuse Community Health Center, Inc.","Syracuse, NY 13202 (Southwest area)",Today,2022-04-25,"They will function as the subject matter expert on data governance and integrity, as well as organizational data stores.",
"Data Analyst, Risk",Attune,"Remote in New York, NY 10028",30+ days ago,2022-04-25,"3-5 years of work experience in an analytics or data science environment, preferably with experience in risk or portfolio management roles.",
